site_id|config_id|run_id|stat_id|stat_name|stat_read_data|stat_req_per_sec_r|stat_data_per_sec_r|stat_write_data|stat_req_per_sec_w|stat_data_per_sec_w|stat_wait_cnt|stat_avg_tm|start_time
37|1|14|266303|Streams AQ|107692.307692307692307692307692307692308|.010769230769230769230769230769230769231|7.69230769230769230769230769230769230769|0|0|0|93.6923076923076923076923076923076923077|2.75461538461538461538461538461538461538|22-OCT-14 08.00.00.000000 AM
37|1|15|266298|Others|4718750000|55.1|671343.75|1770625000|12.334375|251875|148593.75|1.178125|23-OCT-14 08.00.00.000000 AM
37|1|15|266301|LGWR|243750|.02625|0|3338750000|554.66|475087.5|1213437.5|.27|23-OCT-14 08.00.00.000000 AM
37|1|15|266304|TOTAL|190000000000|11162.75875|278.345875|10141250000|1242.629375|1442837.5|6523125|.350625|23-OCT-14 08.00.00.000000 AM
37|1|15|266297|Direct Reads|17221250000|330.6175|2450006.25|9068750|1.333125|1262.5|93.8125|1.30875|23-OCT-14 08.00.00.000000 AM
37|1|15|266296|Buffer Cache Reads|87516875000|10650.21375|124.510875|0|0|0|6387500|.35125|23-OCT-14 08.00.00.000000 AM
37|1|15|266302|Direct Writes|54637500|.873125|7593.75|383125000|11.984375|54362.5|21|5.8875|23-OCT-14 08.00.00.000000 AM
37|1|15|266299|Smart Scan|84079375000|125.910625|224657.7995|0|0|0|0||23-OCT-14 08.00.00.000000 AM
37|1|15|266300|DBWR|25000|.003125|0|4640625000|662.31625|660275|34.9375|.278125|23-OCT-14 08.00.00.000000 AM
37|1|15|266303|Streams AQ|69230.7692307692307692307692307692307692|.01|7.69230769230769230769230769230769230769|0|0|0|83.6153846153846153846153846153846153846|1.85307692307692307692307692307692307692|23-OCT-14 08.00.00.000000 AM
37|1|21|266297|Direct Reads|14423125000|284.850625|2052162.5|9506250|1.40375|1312.5|99.9375|1.403125|31-OCT-14 08.00.00.000000 AM
37|1|21|266298|Others|4488750000|45.09|638768.75|1805000000|12.441875|256762.5|154875|1.131875|31-OCT-14 08.00.00.000000 AM
37|1|21|266296|Buffer Cache Reads|85450625000|9917.10125|729614.2745625|0|0|0|5941875|.350625|31-OCT-14 08.00.00.000000 AM
37|1|21|266302|Direct Writes|47718750|.72|6631.25|438750000|22.53125|62537.5|1321.5625|1.100625|31-OCT-14 08.00.00.000000 AM
37|1|21|266303|Streams AQ|31250|.001875|0|0|0|0|27.125|4.224375|31-OCT-14 08.00.00.000000 AM
