site_id|config_id|run_id|inst_id|stat_id|stat_name|undo_ts_num|num_undo_blocks|num_trans|max_qry_lens|max_tx_concurcy|min_tr|max_tr|snap_too_old_cnt|out_of_space_cnt|unexpired_stolen|unexpired_rel|unexpired_reused|expired_stolen|expired_rel|expired_reused|start_time
37|1|73|5|266626|undo segment|31|238.9|895261|1901|36|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|3|266626|undo segment|35|236.96|934149|1852|25|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|11|266626|undo segment|65|227.14|861159|1845|25|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|13|266626|undo segment|67|231.8|812699|1878|25|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|16|266626|undo segment|70|226.08|886057|1860|33|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|8|266626|undo segment|34|220.56|878420|1850|39|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|9|266626|undo segment|63|218.37|823492|1902|36|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|6|266626|undo segment|32|215.1|859040|1898|26|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|12|266626|undo segment|66|238.77|877519|1841|54|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|74|11|266626|undo segment|65|342.47|1142736|1849|44|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|1|266626|undo segment|27|330.9|994565|1743|24|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|2|266626|undo segment|28|358.23|971358|1923|39|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|16|266626|undo segment|70|254.73|750719|1970|34|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|3|266626|undo segment|35|451.87|1042128|1684|29|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|8|266626|undo segment|34|316.75|956229|1748|28|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|9|266626|undo segment|63|366.32|945133|1714|32|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|4|266626|undo segment|30|344.5|887875|2338|112|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|15|266626|undo segment|69|403.36|993060|1839|29|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|12|266626|undo segment|66|436.39|1023998|1804|30|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|13|266626|undo segment|67|390.08|886988|1715|33|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|75|9|266626|undo segment|63|216.87|656595|1829|60|181|181|0|0|0|0|0|0|0|0|22-JAN-15 08.00.00.000000 AM
37|1|75|5|266626|undo segment|31|404.02|1149899|1629|170|181|181|0|0|0|0|0|0|0|0|22-JAN-15 08.00.00.000000 AM
