site_id|config_id|run_id|stat_id|stat_name|stat_total|stat_lessonems|stat_lesstenms|stat_lesshunms|stat_lessones|stat_lesstens|start_time
37|1|70|266486|Flushes|997218|66.63|28.63|4.68|.06|0|15-JAN-15 08.00.00.000000 AM
37|1|77|266487|Writes|15254771|36.89|45.76|17.19|.16|0|26-JAN-15 08.00.00.000000 AM
37|1|77|266486|Flushes|484902|51.45|46.04|2.5|.01|0|26-JAN-15 08.00.00.000000 AM
37|1|77|266485|Pins|319397|73.99|24.36|1.64|.02||26-JAN-15 08.00.00.000000 AM
37|1|75|266486|Flushes|533798|53.48|43.21|3.2|.08|.04|22-JAN-15 08.00.00.000000 AM
37|1|75|266487|Writes|12039856|34.47|45.48|19.52|.53|.01|22-JAN-15 08.00.00.000000 AM
37|1|75|266485|Pins|321536|81.59|17.21|1.12|.06|.02|22-JAN-15 08.00.00.000000 AM
37|1|76|266487|Writes|13486031|35.49|47.24|16.67|.6|0|23-JAN-15 08.00.00.000000 AM
37|1|76|266486|Flushes|626666|57.95|39.4|2.59|.06|0|23-JAN-15 08.00.00.000000 AM
37|1|76|266485|Pins|386679|82.2|16.9|.89|.01|0|23-JAN-15 08.00.00.000000 AM
37|1|72|266487|Writes|14430813|36.4|48.83|14.72|.05|0|20-JAN-15 08.00.00.000000 AM
37|1|72|266486|Flushes|505609|51.68|45.49|2.82|.01|0|20-JAN-15 08.00.00.000000 AM
37|1|72|266485|Pins|302799|76.91|21.73|1.29|.07|0|20-JAN-15 08.00.00.000000 AM
37|1|73|266485|Pins|585132|86.01|13.67|.31|0||20-JAN-15 10.00.00.000000 PM
37|1|73|266486|Flushes|753247|76.12|23.06|.81|.01|0|20-JAN-15 10.00.00.000000 PM
37|1|73|266487|Writes|9102753|39.27|47.65|13.05|.03|0|20-JAN-15 10.00.00.000000 PM
37|1|74|266486|Flushes|762680|69.44|28.86|1.69|.01|0|21-JAN-15 10.00.00.000000 PM
37|1|74|266485|Pins|865469|74.76|24.63|.62|0||21-JAN-15 10.00.00.000000 PM
37|1|74|266487|Writes|9912865|39.42|41.02|19.37|.19|0|21-JAN-15 10.00.00.000000 PM
37|1|79|266485|Pins|297847|68.67|29.29|1.99|.05||27-JAN-15 08.00.00.000000 AM
37|1|79|266487|Writes|14912898|40.71|45.04|14.07|.18|0|27-JAN-15 08.00.00.000000 AM
37|1|79|266486|Flushes|477462|47.45|48.81|3.64|.11|0|27-JAN-15 08.00.00.000000 AM
37|1|80|266485|Pins|405627|82.92|16.53|.55|0||28-JAN-15 01.00.00.000000 AM
37|1|80|266486|Flushes|721583|66.58|31.77|1.63|.01|0|28-JAN-15 01.00.00.000000 AM
37|1|80|266487|Writes|10729494|39.68|47.23|12.99|.11|0|28-JAN-15 01.00.00.000000 AM
37|1|81|266485|Pins|291234|66.07|31.33|2.5|.1|.01|28-JAN-15 08.00.00.000000 AM
37|1|81|266487|Writes|14915012|39.68|45.93|14.29|.1|0|28-JAN-15 08.00.00.000000 AM
37|1|81|266486|Flushes|470979|46.28|50.69|3.02|.01|0|28-JAN-15 08.00.00.000000 AM
37|1|82|266486|Flushes|602427|66.08|31.46|2.4|.06|0|29-JAN-15 01.00.00.000000 AM
37|1|82|266485|Pins|373746|84.47|14.81|.71|.01|0|29-JAN-15 01.00.00.000000 AM
37|1|82|266487|Writes|11069556|38.53|45.45|15.23|.79|0|29-JAN-15 01.00.00.000000 AM
37|1|83|266485|Pins|287480|66.09|31.53|2.35|.02||29-JAN-15 08.00.00.000000 AM
37|1|83|266487|Writes|14479967|39.84|43.74|16|.43|0|29-JAN-15 08.00.00.000000 AM
37|1|83|266486|Flushes|475921|45.08|51.57|3.33|.02|0|29-JAN-15 08.00.00.000000 AM
37|1|84|266486|Flushes|631986|67.54|31.13|1.32|.01|0|30-JAN-15 01.00.00.000000 AM
37|1|84|266485|Pins|523700|81.88|17.67|.45|0||30-JAN-15 01.00.00.000000 AM
37|1|84|266487|Writes|10028504|38.24|46.06|15.45|.25|0|30-JAN-15 01.00.00.000000 AM
37|1|85|266485|Pins|331976|72.7|25.89|1.38|.02|.01|30-JAN-15 08.00.00.000000 AM
37|1|85|266486|Flushes|528287|52.97|44.43|2.56|.02|.02|30-JAN-15 08.00.00.000000 AM
37|1|85|266487|Writes|13380567|37.17|44.04|18.04|.72|.03|30-JAN-15 08.00.00.000000 AM
37|1|86|266487|Writes|4609647|50.87|34.76|14.18|.19|0|31-JAN-15 01.00.00.000000 AM
37|1|86|266486|Flushes|862072|87.06|12.39|.54|0|0|31-JAN-15 01.00.00.000000 AM
37|1|86|266485|Pins|376364|95.91|3.84|.25|0||31-JAN-15 01.00.00.000000 AM
37|1|87|266485|Pins|637883|81.87|17.67|.46|0||02-FEB-15 01.00.00.000000 AM
37|1|87|266486|Flushes|664337|70.62|27.6|1.77|.01|0|02-FEB-15 01.00.00.000000 AM
