site_id|config_id|run_id|stat_id|stat_name|stat_rw_persec|stat_r_persec|stat_w_persec|start_time
37|1|15|265454|Database (MB)|279.86875|272.675|7.20625|23-OCT-14 08.00.00.000000 AM
37|1|15|265456|Redo (MB)|7.14375|2.40625|4.75625|23-OCT-14 08.00.00.000000 AM
37|1|15|265459|Direct (blocks)|19035.3125|18959.59375|75.73125|23-OCT-14 08.00.00.000000 AM
37|1|21|265452|Redo Requests|548.725|2.45|546.28125|31-OCT-14 08.00.00.000000 AM
37|1|21|265451|Optimized Requests|10289.675|10289.675|0|31-OCT-14 08.00.00.000000 AM
37|1|21|265453|Total (MB)|287.4125|272.75625|14.65|31-OCT-14 08.00.00.000000 AM
37|1|21|265456|Redo (MB)|7.3625|2.4375|4.9375|31-OCT-14 08.00.00.000000 AM
37|1|21|265450|Database Requests|11027.9625|10343.38125|684.6125|31-OCT-14 08.00.00.000000 AM
37|1|21|265455|Optimized Total (MB)|243.55625|243.55625|0|31-OCT-14 08.00.00.000000 AM
37|1|21|265459|Direct (blocks)|18661.8|18575.425|86.375|31-OCT-14 08.00.00.000000 AM
37|1|21|265457|Database (blocks)|35059.98125|34141.10625|918.88125|31-OCT-14 08.00.00.000000 AM
37|1|21|265458|Via Buffer Cache (blocks)|16398.18125|15565.675|832.49375|31-OCT-14 08.00.00.000000 AM
37|1|21|265449|Total Requests|11619.35|10380.1125|1239.25|31-OCT-14 08.00.00.000000 AM
37|1|21|265454|Database (MB)|273.90625|266.7375|7.1875|31-OCT-14 08.00.00.000000 AM
37|1|19|265449|Total Requests|11946.89375|10565.6|1381.3125|29-OCT-14 08.00.00.000000 AM
37|1|19|265457|Database (blocks)|37095.9125|36050.1875|1045.74375|29-OCT-14 08.00.00.000000 AM
37|1|19|265452|Redo Requests|614.04375|2.7|611.33125|29-OCT-14 08.00.00.000000 AM
37|1|19|265453|Total (MB)|304.35|288.0625|16.30625|29-OCT-14 08.00.00.000000 AM
37|1|19|265456|Redo (MB)|8.0625|2.69375|5.375|29-OCT-14 08.00.00.000000 AM
37|1|19|265455|Optimized Total (MB)|254.74375|254.74375|0|29-OCT-14 08.00.00.000000 AM
37|1|19|265458|Via Buffer Cache (blocks)|15804.325|14853.15|951.2|29-OCT-14 08.00.00.000000 AM
37|1|19|265459|Direct (blocks)|21291.59375|21197.04375|94.54375|29-OCT-14 08.00.00.000000 AM
37|1|19|265454|Database (MB)|289.81875|281.65625|8.1625|29-OCT-14 08.00.00.000000 AM
37|1|19|265450|Database Requests|11290.025|10527.99375|762.0375|29-OCT-14 08.00.00.000000 AM
37|1|19|265451|Optimized Requests|10474.175|10474.175|0|29-OCT-14 08.00.00.000000 AM
37|1|18|265450|Database Requests|11960.89375|11185.85625|775.04375|28-OCT-14 08.00.00.000000 AM
37|1|18|265458|Via Buffer Cache (blocks)|16367.925|15406.06875|961.88125|28-OCT-14 08.00.00.000000 AM
37|1|18|265453|Total (MB)|298.83125|282.6375|16.2125|28-OCT-14 08.00.00.000000 AM
37|1|18|265452|Redo Requests|592.1|2.66875|589.4375|28-OCT-14 08.00.00.000000 AM
37|1|18|265455|Optimized Total (MB)|230.38125|230.38125|0|28-OCT-14 08.00.00.000000 AM
37|1|18|265449|Total Requests|12594.2375|11221.225|1373.03125|28-OCT-14 08.00.00.000000 AM
37|1|18|265451|Optimized Requests|11091.00625|11091.00625|0|28-OCT-14 08.00.00.000000 AM
37|1|18|265454|Database (MB)|284.83125|276.6|8.25|28-OCT-14 08.00.00.000000 AM
37|1|18|265456|Redo (MB)|7.90625|2.63125|5.275|28-OCT-14 08.00.00.000000 AM
37|1|18|265457|Database (blocks)|36459.775|35404.6625|1055.09375|28-OCT-14 08.00.00.000000 AM
37|1|18|265459|Direct (blocks)|20091.825|19998.59375|93.2375|28-OCT-14 08.00.00.000000 AM
37|1|20|265450|Database Requests|11934.425|11146.94375|787.49375|30-OCT-14 08.00.00.000000 AM
37|1|20|265451|Optimized Requests|11080.6625|11080.6625|0|30-OCT-14 08.00.00.000000 AM
37|1|20|265455|Optimized Total (MB)|250.7125|250.7125|0|30-OCT-14 08.00.00.000000 AM
37|1|20|265456|Redo (MB)|8.04375|2.68125|5.35|30-OCT-14 08.00.00.000000 AM
37|1|20|265458|Via Buffer Cache (blocks)|17064.7125|16092.04375|972.66875|30-OCT-14 08.00.00.000000 AM
37|1|20|265459|Direct (blocks)|19604.575|19513.5625|91.03125|30-OCT-14 08.00.00.000000 AM
37|1|20|265454|Database (MB)|286.48125|278.18125|8.31875|30-OCT-14 08.00.00.000000 AM
37|1|20|265453|Total (MB)|301.2625|284.825|16.45625|30-OCT-14 08.00.00.000000 AM
37|1|20|265457|Database (blocks)|36669.29375|35605.60625|1063.6875|30-OCT-14 08.00.00.000000 AM
37|1|20|265452|Redo Requests|588.20625|2.71875|585.5|30-OCT-14 08.00.00.000000 AM
37|1|20|265449|Total Requests|12565.86875|11184.5625|1381.3125|30-OCT-14 08.00.00.000000 AM
37|1|22|265456|Redo (MB)|7.9125|2.63125|5.28125|03-NOV-14 08.00.00.000000 AM
37|1|22|265457|Database (blocks)|37774.50625|36727.63125|1046.90625|03-NOV-14 08.00.00.000000 AM
37|1|22|265454|Database (MB)|295.1125|286.94375|8.19375|03-NOV-14 08.00.00.000000 AM
37|1|22|265449|Total Requests|12312.925|10921.03125|1391.9|03-NOV-14 08.00.00.000000 AM
37|1|22|265450|Database Requests|11654.14375|10884.85625|769.25625|03-NOV-14 08.00.00.000000 AM
37|1|22|265451|Optimized Requests|10803.5|10803.5|0|03-NOV-14 08.00.00.000000 AM
37|1|22|265452|Redo Requests|616.94375|2.6375|614.3|03-NOV-14 08.00.00.000000 AM
37|1|22|265455|Optimized Total (MB)|256.8125|256.8125|0|03-NOV-14 08.00.00.000000 AM
37|1|22|265459|Direct (blocks)|20680.20625|20594.71875|85.4875|03-NOV-14 08.00.00.000000 AM
37|1|22|265453|Total (MB)|309.325|293.11875|16.21875|03-NOV-14 08.00.00.000000 AM
37|1|22|265458|Via Buffer Cache (blocks)|17094.30625|16132.8875|961.425|03-NOV-14 08.00.00.000000 AM
37|1|24|265451|Optimized Requests|10151.64375|10151.64375|0|05-NOV-14 08.00.00.000000 AM
37|1|24|265454|Database (MB)|281.05|273.1875|7.88125|05-NOV-14 08.00.00.000000 AM
37|1|24|265459|Direct (blocks)|20644.75|20559.95|84.8125|05-NOV-14 08.00.00.000000 AM
37|1|24|265458|Via Buffer Cache (blocks)|15330.09375|14406.75|923.35625|05-NOV-14 08.00.00.000000 AM
37|1|24|265449|Total Requests|11610.11875|10263.94375|1346.2|05-NOV-14 08.00.00.000000 AM
37|1|24|265452|Redo Requests|593.20625|2.5625|590.65|05-NOV-14 08.00.00.000000 AM
37|1|24|265453|Total (MB)|294.8125|279.2|15.63125|05-NOV-14 08.00.00.000000 AM
37|1|24|265457|Database (blocks)|35974.8625|34966.68125|1008.175|05-NOV-14 08.00.00.000000 AM
37|1|24|265455|Optimized Total (MB)|246.31875|246.31875|0|05-NOV-14 08.00.00.000000 AM
37|1|24|265450|Database Requests|10974.16875|10226.95|747.2375|05-NOV-14 08.00.00.000000 AM
37|1|24|265456|Redo (MB)|7.65|2.5625|5.0875|05-NOV-14 08.00.00.000000 AM
37|1|25|265453|Total (MB)|294.86875|278.96875|15.90625|06-NOV-14 08.00.00.000000 AM
37|1|25|265455|Optimized Total (MB)|236.2125|236.2125|0|06-NOV-14 08.00.00.000000 AM
37|1|25|265459|Direct (blocks)|20024.55625|19938.21875|86.34375|06-NOV-14 08.00.00.000000 AM
37|1|25|265451|Optimized Requests|10183.79375|10183.79375|0|06-NOV-14 08.00.00.000000 AM
37|1|25|265454|Database (MB)|280.34375|272.55625|7.80625|06-NOV-14 08.00.00.000000 AM
37|1|25|265456|Redo (MB)|8.01875|2.69375|5.3375|06-NOV-14 08.00.00.000000 AM
37|1|25|265458|Via Buffer Cache (blocks)|15859.61875|14948.65625|910.95|06-NOV-14 08.00.00.000000 AM
37|1|25|265450|Database Requests|11002.60625|10265.94375|736.66875|06-NOV-14 08.00.00.000000 AM
37|1|25|265457|Database (blocks)|35884.1375|34886.85|997.29375|06-NOV-14 08.00.00.000000 AM
37|1|25|265449|Total Requests|11642.05|10303.69375|1338.3875|06-NOV-14 08.00.00.000000 AM
