site_id|config_id|run_id|stat_id|stat_name|stat_alloc|stat_used|stat_avg_alloc|stat_num_proc|stat_num_alloc|start_time
37|1|23|266690|JAVA|1054.001875|1033.308125|3.415625|308.6875|308.6875|04-NOV-14 08.00.00.000000 AM
37|1|23|266687|Other|20251.2875||24.76|818.0625|818.0625|04-NOV-14 08.00.00.000000 AM
37|1|23|266691|SQL|443.455625|51.34125|.58375|760.0625|748.125|04-NOV-14 08.00.00.000000 AM
37|1|23|266688|PL/SQL|2926.481875|516.134375|3.58|818.0625|815.9375|04-NOV-14 08.00.00.000000 AM
37|1|26|266690|JAVA|993.31125|966.439375|3.2675|303.9375|303.9375|10-NOV-14 08.00.00.000000 AM
37|1|26|266687|Other|22394.083125||27.3675|818.5625|818.5625|10-NOV-14 08.00.00.000000 AM
37|1|26|266689|Freeable|2188.770625|0|3.0125|726.5625|726.5625|10-NOV-14 08.00.00.000000 AM
37|1|26|266691|SQL|420.31375|29.165|.553125|760.625|748.3125|10-NOV-14 08.00.00.000000 AM
37|1|26|266688|PL/SQL|2972.405|132.605|3.634375|818.5625|816.8125|10-NOV-14 08.00.00.000000 AM
37|1|27|266687|Other|23561.525||27.82875|846.875|846.875|11-NOV-14 08.00.00.000000 AM
37|1|27|266691|SQL|432.73375|31.639375|.549375|788.875|778.1875|11-NOV-14 08.00.00.000000 AM
37|1|27|266688|PL/SQL|3148.470625|40.82125|3.72|846.875|845.75|11-NOV-14 08.00.00.000000 AM
37|1|27|266689|Freeable|2253.936875|0|2.9725|758.25|758.25|11-NOV-14 08.00.00.000000 AM
37|1|27|266690|JAVA|1070.221875|1016.81375|3.411875|313.6875|313.6875|11-NOV-14 08.00.00.000000 AM
37|1|28|266688|PL/SQL|3072.4225|44.905625|3.675625|836.1875|835.125|12-NOV-14 08.00.00.000000 AM
37|1|28|266690|JAVA|1093.351875|1077.22625|3.458125|316.125|316.125|12-NOV-14 08.00.00.000000 AM
37|1|28|266687|Other|24371.699375||29.154375|836.1875|836.1875|12-NOV-14 08.00.00.000000 AM
37|1|28|266689|Freeable|2223.919375|0|2.948125|754.3125|754.3125|12-NOV-14 08.00.00.000000 AM
37|1|28|266691|SQL|435.085|34.955|.55875|778.1875|767.5|12-NOV-14 08.00.00.000000 AM
37|1|29|266690|JAVA|1128.235|1100.28375|3.51625|320.6875|320.6875|13-NOV-14 08.00.00.000000 AM
37|1|29|266689|Freeable|2244.910625|0|2.99875|748.4375|748.4375|13-NOV-14 08.00.00.000000 AM
37|1|29|266691|SQL|429.0425|29.90875|.56625|758.4375|747.625|13-NOV-14 08.00.00.000000 AM
37|1|29|266687|Other|25130.58625||30.77375|816.875|816.875|13-NOV-14 08.00.00.000000 AM
37|1|29|266688|PL/SQL|3186.12375|41.1575|3.903125|816.875|815.875|13-NOV-14 08.00.00.000000 AM
37|1|30|266688|PL/SQL|3229.354375|35.894375|3.723125|867.6875|866.6875|14-NOV-14 08.00.00.000000 AM
37|1|30|266691|SQL|428.768125|30.491875|.53|809.5625|798.875|14-NOV-14 08.00.00.000000 AM
37|1|30|266690|JAVA|1147.106875|1105.881875|3.554375|322.6875|322.6875|14-NOV-14 08.00.00.000000 AM
37|1|30|266687|Other|25280.408125||29.140625|867.6875|867.6875|14-NOV-14 08.00.00.000000 AM
37|1|30|266689|Freeable|2321.1375|0|2.959375|784.3125|784.3125|14-NOV-14 08.00.00.000000 AM
37|1|31|266690|JAVA|991.966875|970.8025|3.256875|304.625|304.625|17-NOV-14 08.00.00.000000 AM
37|1|31|266689|Freeable|2188.786875|0|2.851875|767.6875|767.6875|17-NOV-14 08.00.00.000000 AM
