site_id|config_id|run_id|stat_id|stat_pool|stat_name|stat_begin_mb|stat_end_mb|stat_diff_pct|start_time
37|1|12|266722|Other|fixed_sga|2.16|2.16|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266714|shared|gcs dynamic s|126.67|126.67|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266703|large|free memory|383.63|383.63|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266705|shared|ASM extent pointer array|1315.3|1315.29|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266713|shared|free memory|258.46|250.91|-2.16|20-OCT-14 08.00.00.000000 AM
37|1|12|266715|shared|gcs resources|282.51|282.51|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266723|Other|log_buffer|60.11|60.11|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266701|java|JOXLE|25.13|25.13|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266702|java|free memory|358.07|358.07|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266710|shared|KTSL subheap|678.85|776.23|14.39|20-OCT-14 08.00.00.000000 AM
37|1|12|266720|streams|free memory|392|392|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266719|shared|kcbi io desc slot|348.22|353.89|1.63|20-OCT-14 08.00.00.000000 AM
37|1|12|267290|shared|SQLP|92.57|89.58|-3.17|20-OCT-14 08.00.00.000000 AM
37|1|12|269411|shared|gcs dynamic r|104.17|104.17|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266704|shared|ASH buffers|254|254|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266708|shared|KGLH0|867.4|836.08|-3.65|20-OCT-14 08.00.00.000000 AM
37|1|12|266711|shared|SQLA|1338.16|1264.41|-5.55|20-OCT-14 08.00.00.000000 AM
37|1|12|266718|shared|init_heap_kfsg|127.46|128.7|1|20-OCT-14 08.00.00.000000 AM
37|1|12|266721|Other|buffer_cache|10048|10048|0|20-OCT-14 08.00.00.000000 AM
37|1|12|267355|shared|ges resource|94.95|94.47|-.52|20-OCT-14 08.00.00.000000 AM
37|1|12|266706|shared|Checkpoint queue|210.95|210.95|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266707|shared|FileOpenBlock|647.46|661.86|2.23|20-OCT-14 08.00.00.000000 AM
37|1|12|266709|shared|KKSSP|187.22|189.82|1.39|20-OCT-14 08.00.00.000000 AM
37|1|12|266712|shared|db_block_hash_buckets|89|89|0|20-OCT-14 08.00.00.000000 AM
37|1|12|267158|shared|KGLHD|98.86|96.45|-2.43|20-OCT-14 08.00.00.000000 AM
37|1|9|266702|java|free memory|358.75|358.76|.01|15-OCT-14 08.00.00.000000 AM
37|1|9|266712|shared|db_block_hash_buckets|89|89|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266720|streams|free memory|392|392|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266722|Other|fixed_sga|2.16|2.16|0|15-OCT-14 08.00.00.000000 AM
37|1|9|267158|shared|KGLHD|77.41|94.53|1666669.33|15-OCT-14 08.00.00.000000 AM
37|1|9|266715|shared|gcs resources|282.51|282.51|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266710|shared|KTSL subheap|892.51|892.51|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266711|shared|SQLA|1338.09|1314.47|-1.77|15-OCT-14 08.00.00.000000 AM
37|1|9|268208|shared|kglsim object batch|96.41|96.51|.11|15-OCT-14 08.00.00.000000 AM
37|1|9|266713|shared|free memory|253.04|247.91|-1.26|15-OCT-14 08.00.00.000000 AM
37|1|9|266701|java|JOXLE|24.49|24.47|-.08|15-OCT-14 08.00.00.000000 AM
37|1|9|266703|large|free memory|383.63|383.63|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266714|shared|gcs dynamic s|131.07|131.07|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266721|Other|buffer_cache|9560|9560|0|15-OCT-14 08.00.00.000000 AM
37|1|9|267290|shared|SQLP|76.01|92.84|1999999.38|15-OCT-14 08.00.00.000000 AM
37|1|9|266706|shared|Checkpoint queue|210.95|210.95|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266717|shared|ges enqueues|140.19|140.19|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266719|shared|kcbi io desc slot|369.62|370.2|.16|15-OCT-14 08.00.00.000000 AM
37|1|9|266723|Other|log_buffer|60.11|60.11|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266704|shared|ASH buffers|254|254|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266705|shared|ASM extent pointer array|1315.32|1315.32|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266707|shared|FileOpenBlock|753.5|753.56|.01|15-OCT-14 08.00.00.000000 AM
37|1|9|266708|shared|KGLH0|892.9|917.21|2.81|15-OCT-14 08.00.00.000000 AM
37|1|9|266716|shared|gcs shadows|195.59|195.59|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266709|shared|KKSSP|201.31|203.82|1.25|15-OCT-14 08.00.00.000000 AM
37|1|9|266718|shared|init_heap_kfsg|191.64|191.75|.08|15-OCT-14 08.00.00.000000 AM
37|1|9|267355|shared|ges resource|128.33|128.33|0|15-OCT-14 08.00.00.000000 AM
37|1|8|266702|java|free memory|358.75|358.75|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266708|shared|KGLH0|917.7|938.51|2.28|14-OCT-14 08.00.00.000000 AM
37|1|8|266711|shared|SQLA|1347.28|1318.31|-2.1|14-OCT-14 08.00.00.000000 AM
37|1|8|266716|shared|gcs shadows|195.59|195.59|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266717|shared|ges enqueues|140.15|140.16|.01|14-OCT-14 08.00.00.000000 AM
37|1|8|266719|shared|kcbi io desc slot|368.12|368.51|.11|14-OCT-14 08.00.00.000000 AM
37|1|8|266710|shared|KTSL subheap|867.52|874.66|1.59|14-OCT-14 08.00.00.000000 AM
37|1|8|266721|Other|buffer_cache|9560|9560|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266701|java|JOXLE|24.49|24.49|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266713|shared|free memory|264.83|261.38|-.78|14-OCT-14 08.00.00.000000 AM
37|1|8|266715|shared|gcs resources|282.51|282.51|0|14-OCT-14 08.00.00.000000 AM
