site_id|config_id|run_id|stat_id|stat_name|stat_read_data|stat_req_per_sec_r|stat_data_per_sec_r|stat_write_data|stat_req_per_sec_w|stat_data_per_sec_w|stat_wait_cnt|stat_avg_tm|start_time
37|1|7|266315|Others|4899375000|49.17|697043.75|1910625000|13.86|271781.25|167337.5|2.0906|13-OCT-14 08.00.00.000000 AM
37|1|7|266323|DBWR (Data File)|31250|0|0|5190625000|742.96|738475|31.1875|.1593|13-OCT-14 08.00.00.000000 AM
37|1|7|266327|Direct Writes|59656250|.88|8287.5|415625000|11.65|59075|131.375|18.6706|13-OCT-14 08.00.00.000000 AM
37|1|7|266331|TOTAL|199462500000|10786.61|892719.04|11128125000|1334.25|1582975|6563750|.3413|13-OCT-14 08.00.00.000000 AM
37|1|7|266311|Buffer Cache Reads|77268750000|10284.47|708290.34|0|0|0|6545000|.335|13-OCT-14 08.00.00.000000 AM
37|1|7|266330|Streams AQ (Data File)|100000|.01|13.33|0|0|0|113.866666666666666666666666666666666667|4.2187|13-OCT-14 08.00.00.000000 AM
37|1|7|266312|Buffer Cache Reads (Data File)|77268750000|10284.47|708290.34|0|0|0|6545000|.335|13-OCT-14 08.00.00.000000 AM
37|1|7|266313|Direct Reads|18489375000|294.97|2630350|4725000|.46|656.25|111.75|1.0313|13-OCT-14 08.00.00.000000 AM
37|1|7|266317|Others (Log File)|1816250000|2.6|258350|0|0|0|18731.25|13.0519|13-OCT-14 08.00.00.000000 AM
37|1|7|266319|Others (Data File)|369375000|11.54|52450|33787500|5.7|4693.75|56568.75|.6738|13-OCT-14 08.00.00.000000 AM
37|1|7|266326|LGWR (Control File)|243750|.02|0|356250|.03|56.25|162.375|.4288|13-OCT-14 08.00.00.000000 AM
37|1|7|266329|Streams AQ|100000|.01|13.33|0|0|0|113.866666666666666666666666666666666667|4.2187|13-OCT-14 08.00.00.000000 AM
37|1|7|266314|Direct Reads (Data File)|18489375000|294.97|2630350|4725000|.46|656.25|111.75|1.0313|13-OCT-14 08.00.00.000000 AM
37|1|7|266318|Others (Control File)|898125000|32.45|127831.25|62718750|5.58|8718.75|92025|.6138|13-OCT-14 08.00.00.000000 AM
37|1|7|266321|Smart Scan (Data File)|101561875000|157.06|311269.07|0|0|0|0||13-OCT-14 08.00.00.000000 AM
37|1|7|266325|LGWR (Log File)|6250|.01|0|3605625000|565.29|512931.25|82.5|2.25|13-OCT-14 08.00.00.000000 AM
37|1|4|266313|Direct Reads|16453125000|281.62|2338681.25|5631250|.59|775|113.625|1.165|08-OCT-14 08.00.00.000000 AM
37|1|4|266315|Others|4378750000|46.97|622443.75|1901250000|14.14|270318.75|163556.25|1.995|08-OCT-14 08.00.00.000000 AM
37|1|4|266316|Others (Archive Log)|1673125000|2.38|237712.5|1804375000|2.57|256500|0||08-OCT-14 08.00.00.000000 AM
37|1|4|266321|Smart Scan (Data File)|97255000000|149.45|143089.94|0|0|0|0||08-OCT-14 08.00.00.000000 AM
37|1|4|266311|Buffer Cache Reads|58535625000|9628.82|8320262.5|0|0|0|6271875|.34|08-OCT-14 08.00.00.000000 AM
37|1|4|266319|Others (Data File)|231875000|10.28|32981.25|35000000|5.83|4868.75|57087.5|.7694|08-OCT-14 08.00.00.000000 AM
37|1|4|266324|LGWR|256250|.03|6.25|3620000000|550.09|514575|254.0625|1.1494|08-OCT-14 08.00.00.000000 AM
37|1|4|266325|LGWR (Log File)|0|.01|0|3619375000|550.06|514518.75|82.5|2.5381|08-OCT-14 08.00.00.000000 AM
37|1|4|266322|DBWR|37500|0|0|5031250000|709.94|715212.5|29.25|.3719|08-OCT-14 08.00.00.000000 AM
37|1|4|266326|LGWR (Control File)|256250|.02|6.25|356250|.03|43.75|171.5625|.4844|08-OCT-14 08.00.00.000000 AM
37|1|4|266327|Direct Writes|45868750|.8|6368.75|465625000|15.29|66200|26|4.0475|08-OCT-14 08.00.00.000000 AM
