site_id|config_id|run_id|stat_id|stat_name|stat_ges_lock_req|stat_ges_pin_req|stat_ges_pin_rel|stat_ges_inval_req|stat_ges_invalid|start_time
37|1|17|266295|TABLE/PROCEDURE|225107|298539|298539|0|0|27-OCT-14 08.00.00.000000 AM
37|1|17|267920|SUBSCRIPTION|0|403|403|0|0|27-OCT-14 08.00.00.000000 AM
37|1|17|269373|TRIGGER|0|498|498|0|0|27-OCT-14 08.00.00.000000 AM
37|1|22|267335|BODY|0|21327370|21327370|0|0|03-NOV-14 08.00.00.000000 AM
37|1|22|267310|CLUSTER|15|15|15|0|0|03-NOV-14 08.00.00.000000 AM
37|1|22|266291|ACCOUNT_STATUS|21361|0|0|0|0|03-NOV-14 08.00.00.000000 AM
37|1|22|266293|QUEUE|1007|16767|16767|0|0|03-NOV-14 08.00.00.000000 AM
37|1|22|266294|SUMMARY|28158|28158|28158|0|0|03-NOV-14 08.00.00.000000 AM
37|1|22|266292|INDEX|41788|41788|41788|0|0|03-NOV-14 08.00.00.000000 AM
37|1|22|269373|TRIGGER|0|431|431|0|0|03-NOV-14 08.00.00.000000 AM
37|1|22|266295|TABLE/PROCEDURE|213914|297827|297827|0|0|03-NOV-14 08.00.00.000000 AM
37|1|22|267920|SUBSCRIPTION|0|68|68|0|0|03-NOV-14 08.00.00.000000 AM
37|1|21|266292|INDEX|36300|36298|36298|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|267335|BODY|0|20279361|20279361|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266293|QUEUE|916|16451|16451|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266291|ACCOUNT_STATUS|19635|0|0|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|269373|TRIGGER|0|453|453|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266294|SUMMARY|26097|26097|26097|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266295|TABLE/PROCEDURE|214673|290828|290828|0|0|31-OCT-14 08.00.00.000000 AM
37|1|19|269373|TRIGGER|0|771|771|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|266293|QUEUE|1112|17234|17234|0|0|29-OCT-14 08.00.00.000000 AM
