site_id|config_id|run_id|stat_id|stat_name|stat_total|start_time
37|1|15|266480|Flushes Queued|0|23-OCT-14 08.00.00.000000 AM
37|1|21|266466|CR Block Requests|41452550|31-OCT-14 08.00.00.000000 AM
37|1|21|266467|CURRENT Block Requests|150737381|31-OCT-14 08.00.00.000000 AM
37|1|21|266470|TX Block Requests|5051266|31-OCT-14 08.00.00.000000 AM
37|1|21|266471|Current Results|54718833|31-OCT-14 08.00.00.000000 AM
37|1|21|266474|Disk Read Results|135151499|31-OCT-14 08.00.00.000000 AM
37|1|21|266469|Undo Block Requests|833447|31-OCT-14 08.00.00.000000 AM
37|1|21|266480|Flushes Queued|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266468|Data Block Requests|41460068|31-OCT-14 08.00.00.000000 AM
37|1|21|266473|Zero Results|2099872|31-OCT-14 08.00.00.000000 AM
37|1|21|266475|Fail Results|67276|31-OCT-14 08.00.00.000000 AM
37|1|21|266478|Free GC Elements|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266481|Flush Queue Full|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266482|Flush Max Time (us)|0|31-OCT-14 08.00.00.000000 AM
37|1|21|266472|Private results|131910|31-OCT-14 08.00.00.000000 AM
37|1|21|266477|Fairness Clears|1530538|31-OCT-14 08.00.00.000000 AM
37|1|21|266476|Fairness Down Converts|17041856|31-OCT-14 08.00.00.000000 AM
37|1|21|266479|Flushes|2899253|31-OCT-14 08.00.00.000000 AM
37|1|21|266483|Light Works|1753288|31-OCT-14 08.00.00.000000 AM
37|1|21|266484|Errors|0|31-OCT-14 08.00.00.000000 AM
37|1|19|266468|Data Block Requests|49742025|29-OCT-14 08.00.00.000000 AM
37|1|19|266475|Fail Results|118863|29-OCT-14 08.00.00.000000 AM
37|1|19|266477|Fairness Clears|1670045|29-OCT-14 08.00.00.000000 AM
37|1|19|266469|Undo Block Requests|902923|29-OCT-14 08.00.00.000000 AM
37|1|19|266470|TX Block Requests|6370959|29-OCT-14 08.00.00.000000 AM
37|1|19|266478|Free GC Elements|0|29-OCT-14 08.00.00.000000 AM
37|1|19|266481|Flush Queue Full|0|29-OCT-14 08.00.00.000000 AM
