site_id|config_id|run_id|stat_id|stat_name|stat_per_sec|stat_per_trans|start_time
37|1|36|266337|Estd Interconnect traffic (KB)|106458.13||24-NOV-14 08.00.00.000000 AM
37|1|36|266334|GCS/GES messages received|38239.51|109.96|24-NOV-14 08.00.00.000000 AM
37|1|32|266333|Global Cache blocks served|5971.2|17.13|18-NOV-14 08.00.00.000000 AM
37|1|32|266337|Estd Interconnect traffic (KB)|110668.81||18-NOV-14 08.00.00.000000 AM
37|1|32|266335|GCS/GES messages sent|38733.35|111.13|18-NOV-14 08.00.00.000000 AM
37|1|32|266334|GCS/GES messages received|38743.93|111.13|18-NOV-14 08.00.00.000000 AM
37|1|32|266332|Global Cache blocks received|5970.87|17.13|18-NOV-14 08.00.00.000000 AM
37|1|32|266336|DBWR Fusion writes|135.38|.39|18-NOV-14 08.00.00.000000 AM
37|1|33|266332|Global Cache blocks received|5757.6|16.48|19-NOV-14 08.00.00.000000 AM
37|1|33|266336|DBWR Fusion writes|135.51|.39|19-NOV-14 08.00.00.000000 AM
37|1|33|266335|GCS/GES messages sent|37933.38|108.59|19-NOV-14 08.00.00.000000 AM
37|1|33|266333|Global Cache blocks served|5757.94|16.46|19-NOV-14 08.00.00.000000 AM
37|1|33|266334|GCS/GES messages received|37945.23|108.48|19-NOV-14 08.00.00.000000 AM
37|1|33|266337|Estd Interconnect traffic (KB)|106944.36||19-NOV-14 08.00.00.000000 AM
37|1|34|266335|GCS/GES messages sent|36688.17|107.54|20-NOV-14 08.00.00.000000 AM
37|1|34|266337|Estd Interconnect traffic (KB)|103852.97||20-NOV-14 08.00.00.000000 AM
37|1|34|266333|Global Cache blocks served|5595.08|16.39|20-NOV-14 08.00.00.000000 AM
37|1|34|266336|DBWR Fusion writes|125.99|.37|20-NOV-14 08.00.00.000000 AM
37|1|34|266332|Global Cache blocks received|5594.9|16.4|20-NOV-14 08.00.00.000000 AM
37|1|34|266334|GCS/GES messages received|36697.37|107.54|20-NOV-14 08.00.00.000000 AM
37|1|37|266335|GCS/GES messages sent|36622.79|108.69|25-NOV-14 08.00.00.000000 AM
37|1|37|266334|GCS/GES messages received|36632.53|108.68|25-NOV-14 08.00.00.000000 AM
37|1|37|266336|DBWR Fusion writes|123.57|.37|25-NOV-14 08.00.00.000000 AM
37|1|37|266333|Global Cache blocks served|5528.71|16.4|25-NOV-14 08.00.00.000000 AM
37|1|37|266337|Estd Interconnect traffic (KB)|102767.4||25-NOV-14 08.00.00.000000 AM
37|1|37|266332|Global Cache blocks received|5528.76|16.41|25-NOV-14 08.00.00.000000 AM
37|1|38|266333|Global Cache blocks served|5036.11|15.93|26-NOV-14 08.00.00.000000 AM
37|1|38|266332|Global Cache blocks received|5035.58|15.93|26-NOV-14 08.00.00.000000 AM
37|1|38|266335|GCS/GES messages sent|33591.49|106.28|26-NOV-14 08.00.00.000000 AM
37|1|38|266334|GCS/GES messages received|33602.61|106.32|26-NOV-14 08.00.00.000000 AM
