site_id|config_id|run_id|stat_id|stat_name|stat_value|stat_end_value|start_time
37|1|4|266029|VM_IN_BYTES|132352||08-OCT-14 08.00.00.000000 AM
37|1|4|266041|TCP_SEND_SIZE_MAX|4194304||08-OCT-14 08.00.00.000000 AM
37|1|4|266024|NICE_TIME|0||08-OCT-14 08.00.00.000000 AM
37|1|4|266026|USER_TIME|5745119.63||08-OCT-14 08.00.00.000000 AM
37|1|4|266038|TCP_RECEIVE_SIZE_MAX|6291456||08-OCT-14 08.00.00.000000 AM
37|1|4|266042|TCP_SEND_SIZE_MIN|4096||08-OCT-14 08.00.00.000000 AM
37|1|7|266037|TCP_RECEIVE_SIZE_DEFAULT|87380||13-OCT-14 08.00.00.000000 AM
37|1|7|266038|TCP_RECEIVE_SIZE_MAX|6291456||13-OCT-14 08.00.00.000000 AM
37|1|7|266041|TCP_SEND_SIZE_MAX|4194304||13-OCT-14 08.00.00.000000 AM
37|1|7|266022|IDLE_TIME|9583874.31||13-OCT-14 08.00.00.000000 AM
37|1|7|266030|VM_OUT_BYTES|0||13-OCT-14 08.00.00.000000 AM
37|1|7|266031|PHYSICAL_MEMORY_BYTES|101178621952||13-OCT-14 08.00.00.000000 AM
37|1|7|266027|LOAD|4.69|3.75|13-OCT-14 08.00.00.000000 AM
37|1|7|266033|NUM_CPU_CORES|12||13-OCT-14 08.00.00.000000 AM
37|1|7|266036|GLOBAL_SEND_SIZE_MAX|2097152||13-OCT-14 08.00.00.000000 AM
37|1|7|266040|TCP_SEND_SIZE_DEFAULT|16384||13-OCT-14 08.00.00.000000 AM
37|1|7|266029|VM_IN_BYTES|112384||13-OCT-14 08.00.00.000000 AM
37|1|7|266034|NUM_CPU_SOCKETS|2||13-OCT-14 08.00.00.000000 AM
37|1|7|266023|IOWAIT_TIME|2356.19||13-OCT-14 08.00.00.000000 AM
37|1|7|266032|NUM_CPUS|24||13-OCT-14 08.00.00.000000 AM
37|1|7|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||13-OCT-14 08.00.00.000000 AM
37|1|7|266028|RSRC_MGR_CPU_WAIT_TIME|0||13-OCT-14 08.00.00.000000 AM
37|1|7|266042|TCP_SEND_SIZE_MIN|4096||13-OCT-14 08.00.00.000000 AM
37|1|7|266021|BUSY_TIME|7192112.13||13-OCT-14 08.00.00.000000 AM
37|1|7|266024|NICE_TIME|0||13-OCT-14 08.00.00.000000 AM
37|1|7|266025|SYS_TIME|1181755.81||13-OCT-14 08.00.00.000000 AM
37|1|7|266039|TCP_RECEIVE_SIZE_MIN|4096||13-OCT-14 08.00.00.000000 AM
37|1|7|266026|USER_TIME|5634541.75||13-OCT-14 08.00.00.000000 AM
37|1|11|266029|VM_IN_BYTES|144640||17-OCT-14 08.00.00.000000 AM
37|1|11|266024|NICE_TIME|0||17-OCT-14 08.00.00.000000 AM
37|1|11|266028|RSRC_MGR_CPU_WAIT_TIME|0||17-OCT-14 08.00.00.000000 AM
37|1|11|266031|PHYSICAL_MEMORY_BYTES|101178621952||17-OCT-14 08.00.00.000000 AM
37|1|11|266032|NUM_CPUS|24||17-OCT-14 08.00.00.000000 AM
37|1|11|266038|TCP_RECEIVE_SIZE_MAX|6291456||17-OCT-14 08.00.00.000000 AM
37|1|11|266026|USER_TIME|5348784.44||17-OCT-14 08.00.00.000000 AM
37|1|11|266042|TCP_SEND_SIZE_MIN|4096||17-OCT-14 08.00.00.000000 AM
37|1|11|266023|IOWAIT_TIME|2276.06||17-OCT-14 08.00.00.000000 AM
37|1|11|266025|SYS_TIME|1162951.19||17-OCT-14 08.00.00.000000 AM
37|1|11|266034|NUM_CPU_SOCKETS|2||17-OCT-14 08.00.00.000000 AM
37|1|11|266036|GLOBAL_SEND_SIZE_MAX|2097152||17-OCT-14 08.00.00.000000 AM
37|1|11|266037|TCP_RECEIVE_SIZE_DEFAULT|87380||17-OCT-14 08.00.00.000000 AM
37|1|11|266040|TCP_SEND_SIZE_DEFAULT|16384||17-OCT-14 08.00.00.000000 AM
37|1|11|266041|TCP_SEND_SIZE_MAX|4194304||17-OCT-14 08.00.00.000000 AM
37|1|11|266021|BUSY_TIME|6869257.19||17-OCT-14 08.00.00.000000 AM
37|1|11|266022|IDLE_TIME|9907323.06||17-OCT-14 08.00.00.000000 AM
37|1|11|266027|LOAD|3.69|3.5|17-OCT-14 08.00.00.000000 AM
37|1|11|266030|VM_OUT_BYTES|0||17-OCT-14 08.00.00.000000 AM
37|1|11|266033|NUM_CPU_CORES|12||17-OCT-14 08.00.00.000000 AM
37|1|11|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||17-OCT-14 08.00.00.000000 AM
37|1|11|266039|TCP_RECEIVE_SIZE_MIN|4096||17-OCT-14 08.00.00.000000 AM
37|1|12|266031|PHYSICAL_MEMORY_BYTES|101178621952||20-OCT-14 08.00.00.000000 AM
37|1|12|266032|NUM_CPUS|24||20-OCT-14 08.00.00.000000 AM
37|1|12|266041|TCP_SEND_SIZE_MAX|4194304||20-OCT-14 08.00.00.000000 AM
37|1|12|266025|SYS_TIME|1198958.19||20-OCT-14 08.00.00.000000 AM
